full_name,a,e,i,om,w,q,ad,per_y,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
"190119 (2004 VA64)",2.464794416761538,.8904505506770666,29.93537228968986,225.5461996136763,19.92151808022708,.2700168710504673,4.659571962472608,3.86971743851541,17.1,,,,,,,,,,
"190135 (2005 QE30)",2.017418749701569,.6889446708913256,6.234411432750237,259.8844078780926,216.9104050486391,.6275288531384321,3.407308646264707,2.86551232965077,17.2,,,,,,,,,,
"190161 (2005 TJ174)",2.236912200469021,.4544327754954947,3.992549802611657,305.0457361005977,55.64520706348749,1.22038598067015,3.253438420267893,3.34565850216626,16.5,,,,,,,,,,
"190166 (2005 UP156)",2.115090749542551,.4702060363712625,4.207104025077076,193.490916677696,91.11354065981207,1.120562311634625,3.109619187450477,3.07610893388784,17.0,,,,,,,,,,
"190208 (2006 AQ)",2.053897305800304,.4868021424731415,4.080373577753112,326.157278294649,104.8677745769833,1.054055696916903,3.053738914683705,2.9435830271338,18.0,,,,,,,,,,
"190491 (2000 FJ10)",1.318696289166868,.2342446953415118,5.281476069987414,189.8087543797631,232.2810731224149,1.009798678662993,1.627593899670743,1.51434691927985,20.9,,,,2.,,,,,,
"190758 (2001 QH96)",1.749441569318278,.3645378681907694,13.94927914030429,178.6314610085926,130.3843077791127,1.111703869114679,2.387179269521877,2.31396808619158,18.1,,,,,,,,,,
"190788 (2001 RT17)",1.268230020025801,.7920316080006752,20.11272734813365,350.0273736818662,199.577675556161,.2637517579500374,2.272708282101565,1.42825333188428,18.3,,,,,,,,,,
"191094 (2002 EA3)",2.11507949465472,.6411436270563873,32.16543459917378,349.4509343666554,259.3639007888503,.7590097559392019,3.471149233370237,3.07608438088819,20.1,,,,,,,,,,
"192559 (1998 VO)",1.074546690404084,.2265982697100742,10.06108040334876,228.1945702342583,75.90397995510274,.8310562696358315,1.318037111172336,1.11389983234977,20.4,,,,,,,,,,
"192563 (1998 WZ6)",1.452062881406168,.4079416688071406,24.75516733760747,68.75988833568604,110.6564934877552,.8597059263524305,2.044419836459905,1.74979164305822,17.3,,,,,,,,,V,
"192642 (1999 RD32)",2.642505240694548,.7697987683322661,6.79326868320123,310.0615546026247,299.9114949055182,.6083079610963265,4.676702520292769,4.29568065665501,16.3,,,,17.08,,,,,,
"193178 (2000 PK5)",1.93565209443675,.7004766617920986,13.12099546649752,227.2590308872508,191.6918886925091,.5797729769348116,3.291531211938689,2.69307938194695,17.7,,,,,,,,,,
"194006 (2001 SG10)",1.448655836268918,.4245311768765617,4.255376994287658,185.0409376320591,101.5300654320055,.8336562692085749,2.063655403329262,1.74363682620318,20.3,,,,,,,,,X,
"194126 (2001 SG276)",1.432765784828757,.2476512771087771,26.67870862045665,35.14271346480449,200.3001612516334,1.077939508418156,1.787592061239358,1.71502717114524,17.7,,,,,,,,,,
"194268 (2001 UY4)",1.452955690922255,.7876505918081596,5.435466836450577,160.8589163444001,107.6518628416706,.3085342810963075,2.597377100748202,1.75140569582639,18.2,,,,,,,,,X,
"194386 (2001 VG5)",2.306042198177248,.61081375797689,13.65751112669575,248.7448911113897,279.8874964366564,.8974798970553152,3.714604499299181,3.50194303696543,16.8,,,,6.6,,,,,Sq,
"196068 (2002 TW55)",2.117386761307169,.6643494751203597,59.37166687760138,33.59922794750928,251.1383570694038,.7107019778059528,3.524071544808384,3.08111914351097,18.0,,,,,,,,,,
"196256 (2003 EH1)",3.122364748450335,.619154475598367,70.87674359275547,282.9627585111559,171.3502156047758,1.189138639996741,5.05559085690393,5.51738963818314,16.2,,,,,,,,,,
"196625 (2003 RM10)",1.846661883721685,.5921154006136956,13.72314468887111,341.4075913226513,287.1847979886279,.7532249426437777,2.940098824799592,2.50951201894011,20.2,,,,,,,,,,
"197588 (2004 HE12)",1.845299092679367,.466139070196533,42.70184661896172,338.0790419842002,162.1544282445897,.9851330893833007,2.705465095975433,2.5067345943115,17.2,,,,,,,,,,
"198752 (2005 EA60)",2.516400511397729,.5199147465716485,1.755847959637763,335.0126224824219,115.8929958901032,1.208086777241612,3.824714245553847,3.99188341881565,19.6,,,,,,,,,,
"198856 (2005 LR3)",1.654070322748227,.3351632173966682,25.00315150471772,73.83832161965852,26.30758220997966,1.099686791575586,2.208453853920868,2.12735102416849,16.9,,,,,,,,,,
"199003 (2005 WJ56)",.9589231913206027,.1519499428787629,21.61640331068821,288.0710481548634,297.6656467011225,.813214867174316,1.104631515466889,0.939039660928191,18.1,,,,4.379,,,,,,
"199145 (2005 YY128)",1.649854325766407,.7314967844412114,3.769111854516945,300.3725572233602,314.7117491278287,.4429911916718574,2.856717459860956,2.11922272289423,18.2,,,,,,,,,,
"199801 (2007 AE12)",1.684393975833567,.5698362840320356,2.284559657791378,245.7192969551174,86.65678028494405,.7245651717986209,2.644222779868513,2.18611861106286,19.5,,,,,,,,,,
"200754 (2001 WA25)",1.755803691742556,.5170236488937204,15.51510826453421,279.9344030189238,83.57151523025502,.8480116602967546,2.663595723188358,2.32660222462333,18.6,,,,,,,,,S,
"200840 (2001 XN254)",2.325078163662191,.5579870763918245,1.939974936969005,264.5844472612737,278.1936175110289,1.027714596737853,3.622441730586529,3.54539426954894,17.6,,,,,,,,,S,
"202411 (2005 RC)",2.153782037258401,.7513369418438927,16.25948663760549,192.027000067601,40.52534628461876,.5355660279863652,3.771998046530438,3.16090052160346,17.2,,,,,,,,,,
"202435 (2005 XH8)",1.322354652931617,.6915743734408476,29.06491078097159,79.73004472275825,159.0858853615443,.4078480623638445,2.23686124349939,1.5206530026006,18.0,,,,,,,,,,
"202683 (2006 US216)",.6369161067350723,.5624829507682891,3.431452457469025,193.355852875158,56.30754591280818,.2786616556268782,.9951705578432664,0.508313389792025,19.8,,,,,,,,,,
"203015 (1999 YF3)",1.486975769814859,.1433155483213419,26.76167095656432,298.9251830648332,147.0946207263781,1.273869022023293,1.700082517606425,1.81327652831422,18.3,,,,,,,,,Sq,
"203217 (2001 FX9)",1.932537218230863,.3309033769763292,3.49589975009785,184.5115631508526,291.9284393487333,1.293054126585829,2.572020309875897,2.6865813909793,18.6,,,,,,,,,,
"203471 (2002 AU4)",.8555107687145144,.373584913553514,17.18620151067583,99.47691768216021,205.1661549680714,.5359048521402022,1.175116685288826,0.791309579237434,19.3,,,,,,,,,,
"204131 (2003 YL)",1.146114150972615,.6325314258562125,5.657783269882919,292.0345052826156,29.31251825652672,.4211609328639245,1.871067369081306,1.22701540256244,19.8,,,,,,,,,,
"204232 (2004 DG2)",1.247520874647658,.563566270406896,17.33703574755199,329.2878918836451,343.3215419398264,.5444601880677284,1.950581561227587,1.39341324478696,18.4,,,,,,,,,,
"205378 (2001 BJ16)",1.36321752541364,.1414111874552454,19.35914501070919,134.6077521192454,209.96534369434,1.170443316385096,1.555991734442184,1.59168067464693,18.6,,,,,,,,,,
"205388 (2001 DV8)",1.373468126893391,.1707854466103679,12.36710508895855,325.4245982805256,212.7107936237823,1.138899759436798,1.608036494349984,1.60966714792103,20.6,,,,,,,,,,
"205744 (2002 BK25)",2.297287055866762,.7482379934992042,11.92725054218701,156.2721522843137,103.8369360051885,.5783695986933218,4.016204513040202,3.48201871150471,18.1,,,,,,,,,Sk,
"206359 (2003 QM47)",1.792303404834335,.3035573618734619,33.10727354295079,149.1797149127213,302.9816799517033,1.248236511586001,2.33637029808267,2.39952620394465,18.4,,,,,,,,,,
"206378 (2003 RB)",1.789812538035285,.4396768404172963,6.740474287675826,317.2982295573729,43.75452710950069,1.002873416372669,2.576751659697901,2.39452580358223,18.7,,,,16.,,,,,,
"206910 (2004 NL8)",2.564594053108448,.7215909411111049,4.97438666849119,157.6253932054915,270.9462792202629,.7140062167579801,4.415181889458917,4.107108240339,17.1,,,,,,,,,,
"207398 (2006 AS2)",2.09299898790384,.6389285105128651,2.593210594251236,126.0095661197683,79.55423288165878,.7557222620575054,3.430275713750175,3.02804085007455,20.4,,,,4.480,,,,,,
"207945 (1991 JW)",1.039130027662136,.1186648668609008,8.709947297520952,53.88555178286074,301.886434462273,.9158218012784446,1.162438254045828,1.05928554130779,19.5,,,,,,,,,,
"207970 (1996 BZ3)",2.642369285731914,.5246756553078661,3.371830923733724,178.361295306065,278.1117916827071,1.255982449175144,4.028756122288684,4.29534914647542,18.1,,,,,,,,,X,
"208023 (1999 AQ10)",.933922268529545,.2357117147108904,6.500424461758982,327.166301276976,300.4663304608119,.7137858492077612,1.154058687851329,0.902556292892866,20.4,,,,2.67,,,,,S:,
"208115 (2000 CT101)",1.299494131592941,.3547363300132154,23.29449451173896,135.6008579850873,292.3802297057958,.8385163524779509,1.760471910707931,1.48139094660318,20.7,,,,,,,,,,
"208565 (2002 CT11)",1.258120699254658,.5383888865355728,53.85686770026486,6.074498627964562,24.86734727010664,.5807624968555863,1.935478901653729,1.41121006003374,17.1,,,,,,,,,,
"208617 (2002 EB3)",1.757703626959583,.6846175145044773,9.912584834631943,1.717557797018595,300.0976675489825,.5543489386350084,2.961058315284158,2.3303796307669,17.7,,,,,,,,,,
"209215 (2003 WP25)",.9889408537917789,.1211317224976489,2.562067052869224,40.77495818350722,226.420745126524,.8691487447236851,1.108732962859873,0.983475803996566,24.2,,,,,,,,,,
"209924 (2005 WS55)",2.029416288253351,.453673525043456,23.77994341402368,283.6411186139773,203.2798710268049,1.108723846980847,2.950108729525855,2.89111199035944,16.0,,,,,,,,,,
"210012 (2006 KT1)",2.306217089344632,.4739258615880595,9.262662020716125,138.741535162714,188.8653924789182,1.213241168267871,3.399193010421393,3.50234142767038,16.7,,,,,,,,,,
"211871 (2004 HO)",1.845276044818683,.5117350254585399,7.87640838279745,146.1505349415244,163.7094840783851,.9009836610453606,2.789568428592006,2.50668763063266,18.7,,,,,,,,,,
"211914 (2004 RM251)",2.611161140801311,.5990199888033653,19.33919283763459,350.3728803819515,110.0777785445631,1.047023423474727,4.175298858127895,4.21947786751372,17.7,,,,,,,,,,
"212359 (2006 EV52)",2.015650756501354,.7080273706522642,15.95421756137207,168.5269964943642,167.089791711431,.5885148512224532,3.442786661780255,2.86174630720825,16.6,,,,,,,,,,
"212546 (2006 SV19)",2.134934018708112,.5148166579938589,7.355755509003072,116.2425426633981,182.4367795041999,1.035834422159403,3.234033615256821,3.11949927086723,17.6,,,,,,,,,,
"213053 (1998 WT30)",1.812738692670869,.3370973966422299,.5122196951821102,36.03057466339737,126.5977390922828,1.201669198578879,2.423808186762858,2.44068093913148,19.7,,,,,,,,,,
"213869 (2003 SG170)",1.859546709679424,.6035548811205118,36.97507506659612,199.3300760713668,309.2169866667544,.7372082163808206,2.981885202978028,2.53582243590543,17.7,,,,,,,,,,
"214088 (2004 JN13)",2.871947406425212,.6970788036670886,13.33510257185536,88.39657574243847,275.8013059161172,.8699737441595272,4.873921068690897,4.86712977199604,15.0,,,,,,,,,,
"214869 (2007 PA8)",2.823377554707743,.6618579588050998,1.983824946862789,142.6499790588771,292.3143943280049,.9547026494127421,4.692052460002743,4.74418525093851,16.4,,,,85.,,,,,,
"215167 (2000 EL26)",1.690040111967935,.3090913554734056,26.96960538166238,152.3729404125829,96.83133947821844,1.16766332295534,2.21241690098053,2.19711971411309,18.6,,,,,,,,,,
"215188 (2000 NM)",2.688100034380568,.6619310250698828,22.46041687901744,274.6629631593374,70.06497252547666,.9087632231326516,4.467436845628485,4.40733783708471,15.4,,,,9.24,,,,,Sr,
"215442 (2002 MQ3)",.9136715219321347,.2743455038460274,36.2847572989058,109.0860562235881,346.8817658640081,.6630098478978965,1.164333195966373,0.87336007637058,18.2,,,,,,,,,,
"215588 (2003 HF2)",1.113496045769665,.6754483769404336,3.056280080766485,190.0261970460419,230.8754007843932,.3613869489249539,1.865605142614375,1.17500907528707,19.5,,,,,,,,,,
"215757 (2004 FU64)",1.837297863976171,.3674888592773939,24.87548668459618,20.93399519653525,286.3794198505117,1.162111367790776,2.512484360161567,2.4904484545558,17.6,,,,,,,,,,
"216115 (2006 SU19)",1.526747417401336,.5864305305514022,2.091227382797948,152.2556951513018,10.53923470816836,.6314161193966876,2.422078715405985,1.88650948594545,18.8,,,,,,,,,,
"216258 (2006 WH1)",1.673661961783738,.4852179575430425,2.642183393343115,240.6584549012225,263.2173039486464,.861571123069551,2.485752800497924,2.16525884304413,20.2,,,,7.30,,,,,,
"216523 (2001 HY7)",.9138340322364498,.4120416081055718,5.208436307141531,205.2392919421724,211.1386706722552,.5372963880521441,1.290371676420755,0.873593097187077,20.5,,,,,,,,,,
"216689 (2004 HM1)",2.762675629543475,.5327112069944276,4.160511833381969,152.0298983195588,159.6024608381782,1.29096736039528,4.23438389869167,4.59201234829503,16.8,,,,,,,,,,
"216707 (2004 XP164)",2.177935971505801,.4126159405875313,22.65101543448592,126.9926371958787,310.340543856072,1.279284872083516,3.076587070928085,3.21422196153321,17.5,,,,,,,,,,
"216985 (2000 QK130)",1.180564348516095,.2617326205921814,4.722270909937689,173.9307881759568,66.32305934893088,.8715721478012765,1.489556549230915,1.28275199335898,20.9,,,,,,,,,,
"217013 (2001 AA50)",1.320599222201764,.1977380206237926,43.8830726484197,306.2630670823599,58.60975268099594,1.059466545966267,1.581731898437261,1.51762599895422,18.7,,,,,,,,,,
"217390 (2005 CW25)",1.625914110023674,.4782006747487449,28.47991434907646,148.3616766364061,108.9168972923163,.8484008855268483,2.4034273345205,2.07326397864666,18.8,,,,,,,,,,
"217430 (2005 SN25)",1.230113365816818,.2705955640901576,13.0091324947597,168.3341460546374,45.10961832098761,.8972501456987738,1.562976585934863,1.36435035522994,19.6,,,,,,,,,,
"217628 Lugh (1990 HA)",2.549840799150283,.7035378616262006,4.022055564143333,183.1505492462417,310.1778477949371,.7559312558288506,4.343750342471716,4.07171902310591,16.3,1.4,,,8.55,,,,,,
"217683 (1999 RP36)",2.226369003080692,.4177777620437582,5.48548629440953,57.92641136975785,321.5466762046311,1.296241543490048,3.156496462671337,3.32203284895682,18.6,,,,,,,,,,
"217796 (2000 TO64)",2.749651664840383,.6170346140045916,37.42590825457795,223.7238727520009,177.7617983698206,1.053021411178515,4.446281918502251,4.55957875466817,17.0,,,,,,,,,,
"217807 (2000 XK44)",1.723802842404807,.3851398762584351,11.23570900466251,48.15902416649907,347.5451249822959,1.059897628987081,2.387708055822533,2.26328680245993,18.1,,,,51.9,,,,,,
"217837 (2001 LC)",1.054508250165324,.6774738063764871,16.9674739430596,112.4084795684021,2.442250796795803,.3401065320704132,1.768909968260236,1.08288708733,19.1,,,,,,,,,,
"218017 (2001 XV266)",1.196346100065292,.1926491889229707,12.00284202808176,214.1329666815167,265.0154682586655,.9658709942165542,1.426821205914029,1.30855945423708,19.6,,,,,,,,,,
"218863 (2006 WO127)",2.193573815697561,.5506121484597075,10.99612381129529,167.7425406026605,314.1464693132692,.9857654242313686,3.401382207163754,3.24890178205092,16.3,,,,,,,,,,
"219021 (1991 LH)",1.356608804723041,.7328315877691081,53.16070883410964,281.0628432442461,203.7732834776701,.362443020376303,2.350774589069779,1.58012028850023,17.1,,,,,,,,,,
"219071 (1997 US9)",1.052752015427782,.2819556729296164,20.01672233170799,212.2266652844149,357.3576602883286,.7559226124898318,1.349581418365732,1.08018296644083,17.1,,,,3.520,,,,,Q,
"219527 (2001 QK142)",2.486765846341751,.5354447686435967,5.769599369853792,40.63908812107196,319.5209671156563,1.155240083076494,3.818291609607008,3.92157516312759,16.7,,,,,,,,,,
"220124 (2002 TE66)",1.456780288704675,.3780580153439607,51.3393675979738,191.0306473749823,290.5678280913742,.9060328239647834,2.007527753444566,1.75832555081001,18.4,,,,,,,,,,
"220839 (2004 VA)",1.900629523635392,.596251131978123,3.698012730767115,109.6701672899538,43.09659371964071,.767377018696749,3.033882028574035,2.62032046635701,17.3,,,,,,,,,,
"220909 (2005 EO1)",2.534933619586107,.7052192163539567,13.88483830573907,231.242828785002,40.83207480301467,.7472497188722939,4.322617520299921,4.03606441756625,18.0,,,,,,,,,,
"221455 (2006 BC10)",2.016713493062087,.6582484202278911,.9301173922009426,21.31501163746816,233.9248414231787,.6892150222016963,3.344211963922478,2.86400985652833,19.4,,,,,,,,,,
"221787 (2007 VZ30)",1.604861464738073,.1948333782241073,2.453965717661773,344.708191508108,99.20368094979476,1.292180883981465,1.917542045494681,2.03312708444599,21.3,,,,,,,,,,
"221980 (1996 EO)",1.341414962822015,.4005664727948782,21.5973357868837,356.5305808234202,64.63223712634648,.804089102610128,1.878740823033902,1.55364904285094,19.0,,,,,,,,,,
"222008 (1998 QQ63)",2.362740304173212,.5505447048438057,1.668403439501069,104.456717515849,265.5379481685021,1.061946140789607,3.663534467556816,3.63188582104373,18.9,,,,,,,,,,
"222073 (1999 HY1)",1.386369107455379,.1308218210857772,34.22406537436293,216.131819704698,89.85080793753835,1.205001776121003,1.567736438789755,1.63239971722441,18.1,,,,,,,,,,
"222165 (2000 AX93)",2.209709411368865,.4794230027891166,23.35202185096161,291.0566958696747,234.1647720413957,1.150323890079032,3.269094932658697,3.28481526565478,17.7,,,,,,,,,Sq,
"222869 (2002 FB6)",1.796359125212744,.5451718268184734,33.7055148534283,182.7362349960291,101.8433070749183,.8170347392984774,2.77568351112701,2.40767547485247,17.6,,,,,,,,,,
"223456 (2003 UB10)",1.600136056922582,.3359030293659269,5.1444631189197,131.0296747062754,105.2640855655099,1.062645508004637,2.137626605840526,2.02415408649835,18.2,,,,,,,,,,
"224926 (2007 DA41)",1.461254887034175,.4397015380356672,30.22072981356645,225.9388693780003,20.23819451966788,.8187388657431134,2.103770908325238,1.76643299072049,17.5,,,,,,,,,,
"225312 (1996 XB27)",1.188721056900587,.05794491889285801,2.464554677027248,179.5033153812625,57.94798088851412,1.11984071167225,1.257601402128924,1.29606903857974,22.0,,,,,,,,,,
"225416 (1999 YC)",1.421752672106795,.8305041458928525,38.21386338257172,64.8059484460717,156.3831807148202,.2409811834878604,2.602524160725729,1.69529109981067,17.0,,,,4.4950,,,,,,
"225586 (2000 WS67)",1.298642820348964,.70739464362439,20.65317126871845,73.81115540665022,198.3237645292764,.3799898452528359,2.217295795445092,1.47993547461691,18.3,,,,,,,,,,
"225900 (2002 AF3)",1.906366114211159,.6190224181465126,10.5663892340107,353.2688549733584,190.2723979526439,.7262827523195967,3.086449476102723,2.63219261887167,17.7,,,,,,,,,,
"226198 (2002 UN3)",1.74363906241669,.2575527369232329,8.697274116129501,28.03771783308727,112.6565310070835,1.294560049685012,2.192718075148369,2.30246526458317,18.7,,,,,,,,,,
"226219 (2002 VT85)",2.295738250232034,.4428899169896458,5.986274958868256,256.1116610792782,87.14348732847006,1.278978927156813,3.312497573307254,3.47849799707262,17.9,,,,,,,,,,
"226514 (2003 UX34)",1.095152240881311,.6157534900735913,2.563604350552613,4.613999596253881,218.2555989634543,.4208084263967294,1.769496055365892,1.14609322822883,20.0,,,,,,,,,,
"226554 (2003 WR21)",1.11873592707353,.2614192274760195,9.274139964133582,85.88970575707171,107.9905919650026,.8262768452682991,1.41119500887876,1.18331284841798,19.5,,,,,,,,,,
"228368 (2000 WK10)",1.478565260179621,.7020890611676311,14.73676671772293,58.06799832209082,244.3938669757978,.4404807647850366,2.516649755574205,1.79791414492954,18.4,,,,,,,,,X,
"228502 (2001 TE2)",1.083322449158856,.1966581296136368,7.623806451520593,171.1874969687639,35.81832318359062,.8702782825388117,1.296366615778901,1.12757338578685,20.0,,,,,,,,,,
"228587 (2002 AP7)",1.364327001844301,.0933182736494973,23.86928359760928,98.59915844103753,283.4166644644467,1.237010361338796,1.491643642349806,1.59362419219281,19.3,,,,,,,,,,
"229007 (2003 XF11)",2.194697124519631,.8485646934618423,8.639413220739719,116.0306469377655,173.9080182200424,.3323546318100436,4.057039617229218,3.25139770025698,17.0,,,,,,,,,,
"229672 (2006 WR1)",1.333137963798216,.6138505544162326,38.17999257918882,106.0213458110506,132.0843704077815,.5147904856073537,2.151485441989079,1.53929141168796,17.9,,,,,,,,,,
"230089 (2000 WP148)",1.318447928492137,.2642117987630765,21.27981000510434,252.0345484089028,237.8950178662334,.9700984297297771,1.666797427254496,1.51391912572743,19.4,,,,,,,,,,
"230111 (2001 BE10)",.8231897631116321,.3691233664387887,17.51123982345027,297.8188196304406,30.5591635618411,.5193311865339174,1.127048339689347,0.74689257808953,19.1,,,,4.194,,,,,,
"230118 (2001 DB3)",2.681267235705568,.5608777867493472,24.51541913449758,340.51806955642,264.4749237013192,1.177404002859489,4.185130468551646,4.39054420577406,17.3,,,,,,,,,,
"230420 (2002 PP6)",2.324451656888266,.6539705933309125,20.10384835486921,135.6811745845769,272.2251678228134,.804328627664024,3.844574686112508,3.54396137327636,18.9,,,,,,,,,,
"230549 (2003 BH)",1.456224967150804,.3560029380360243,13.1116656607342,119.8199936736067,313.3193500864769,.9378046004037048,1.974645333897903,1.75732024167908,20.6,,,,,,,,,,
"230599 (2003 FJ1)",2.175097010990977,.8161225550083309,20.96166059210507,128.6461159816342,181.8663548777569,.3999512809900374,3.950242740991917,3.20793935607996,17.7,,,,,,,,,,
"230979 (2005 AT42)",2.866711810954688,.6107618805956823,11.20417724046655,157.0794199988387,52.67340967026775,1.115833514170149,4.617590107739228,4.85382658335456,16.5,,,,,,,,,,
"231134 (2005 TU45)",1.974448779564496,.4953099977693238,28.54440364538907,120.1868054178481,76.88814691072965,.9964845589627614,2.952413000166231,2.77445068728139,17.1,,,,2.672,,,,,,
"231792 (2000 DH8)",1.838327401623164,.3053058463016387,37.58770333000367,159.1969525598131,25.32771153591447,1.277075298491111,2.399579504755216,2.49254204779982,18.5,,,,,,,,,,
"231937 (2001 FO32)",1.701089132728984,.8264412111357212,38.94219746613506,181.8378844441976,123.2404679253382,.2952389696266288,3.106939295831339,2.21870114481588,17.7,,,,,,,,,,
"232368 (2003 AZ2)",1.419749654730208,.2237741920415034,22.86824682299114,131.6385527203851,186.8146614230328,1.102046322841752,1.737452986618664,1.69170977938722,18.2,,,,,,,,,,
"232382 (2003 BT47)",2.338755609506887,.4907626704104496,7.45904515290239,352.5386155586044,235.608121325999,1.190981661147869,3.486529557865905,3.57672430189493,17.1,,,,,,,,,,
"232691 (2004 AR1)",1.577296328108535,.4697861308186888,9.078430658185022,336.6279757060769,50.09928724017985,.8363043889719013,2.318288267245169,1.98097110438619,19.9,,,,,,,,,,
"234061 (1999 HE1)",2.360546884025403,.5733129690435614,8.171780418498175,65.88062421836517,221.9329246598249,1.007214741378272,3.713879026672534,3.62682957191306,17.6,,,,,,,,,,
"234145 (2000 EW70)",.9380182012287935,.3214471887318427,5.430767498147066,178.2346459200656,125.5451303230302,.6364948874644979,1.239541514993089,0.908500353181354,21.3,,,,33.,,,,,,
"234341 (2001 FZ57)",.9441800311857654,.6042151490361566,20.66360216435789,22.12073376632676,339.9528539986574,.3736921529258952,1.514667909445636,0.917466929709025,18.9,,,,,,,,,,
"235086 (2003 HW11)",2.350287379417054,.4674591582522096,7.403843452970182,150.4276507738521,154.2677717460172,1.251624019383966,3.448950739450142,3.60321067116696,17.3,,,,,,,,,,
"235700 (2004 TR13)",2.017606036602719,.7298109041029335,17.85543489252574,12.28049210177168,249.855826159636,.5451351509061524,3.490076922299286,2.86591136830832,18.5,,,,,,,,,,
"235756 (2004 VC)",1.133285122785674,.2588509826565615,39.14522773772544,194.1851321448223,94.23020994086221,.8399331551225402,1.426637090448807,1.2064712679342,18.8,,,,,,,,,,
"236716 (2007 FV42)",2.17429484542521,.4737595841930165,9.842761965648693,101.0197542633222,181.6259544520006,1.144201823543544,3.204387867306877,3.20616491024663,17.9,,,,,,,,,,
"237442 (1999 TA10)",1.505730474874315,.2417877552043288,20.8412236131632,214.6999364125647,84.73066053055796,1.141663283411706,1.869797666336923,1.84768980580916,18.1,,,,14.,,,,,,
"237551 (2000 WQ19)",1.406003339967072,.346949356270368,34.27416779885845,38.83800329626245,270.6882005632734,.9181913862515088,1.893815293682635,1.66720011199649,18.2,,,,,,,,,,
"237805 (2002 CF26)",1.604246162393341,.3409928675696753,35.31440488493325,342.1193313060738,33.52772385132441,1.057209663191188,2.151282661595494,2.03195794806712,17.2,,,,,,,,,,
"238063 (2003 EG)",1.73767169700238,.71436819895656,31.76365933556524,359.0926824175244,326.8486910090554,.4963342964370006,2.97900909756776,2.29065557616929,16.5,,,,,,,,,,
"238456 (2004 RK)",1.388584884257703,.3002170204951007,18.14776103273116,178.8206898727738,264.370186304679,.971708067601321,1.805461700914084,1.63631477663427,19.3,,,,,,,,,,
"239849 (1999 VO11)",2.251760254910429,.636693341519788,15.79614753925998,68.04874752635331,71.7348285746163,.8180794939100583,3.685441015910799,3.37902516512324,18.6,,,,,,,,,,
"240320 (2003 HS42)",1.458923918983068,.1213633103369584,15.82355569763849,38.2927098874013,192.3014053322457,1.281864082645515,1.635983755320622,1.76220800256982,20.2,,,,,,,,,,
"241370 (2008 LW8)",1.675340341917609,.393759474763151,17.26220830630153,223.1851591159779,118.5043639157045,1.015659208834613,2.335021475000604,2.16851670375679,17.4,,,,,,,,,,
"241596 (1998 XM2)",1.80486184301922,.3404979916458198,27.09140861238542,248.5941797722652,99.02623084686223,1.190310010273003,2.419413675765437,2.42479008510059,17.1,,,,,,,,,,
"241662 (2000 KO44)",1.829842197108011,.3887429555271159,28.63431616641941,114.4027265172175,235.2349815394905,1.118503933256011,2.54118046096001,2.47530466268639,17.5,,,,,,,,,,
"242147 (2003 BH84)",1.960460216219749,.7187393002547139,23.39311763321772,283.3714420240976,35.37111213909071,.5514004122367616,3.369520020202737,2.74501835384314,16.9,,,,,,,,,,
"242187 (2003 KR18)",2.343265561297089,.4826169733383703,5.581863461726369,244.6347527652362,85.9586564715094,1.212365828375851,3.474165294218328,3.58707508081547,17.9,,,,,,,,,,
"242191 (2003 NZ6)",.7931890400529307,.4924663849643263,18.23796428103905,124.6486476973871,311.5967733814539,.4025701009047397,1.183807979201122,0.706436710006008,19.0,,,,13.51,,,,,,
"242211 (2003 QB90)",2.317391777863042,.4750531153500007,4.847003559924995,129.4674028271858,208.2785142536027,1.216507594302727,3.418275961423356,3.52782793526032,18.0,,,,,,,,,,
"242216 (2003 RN10)",2.229779533759075,.5414328941704203,39.66309812647908,267.2300818555023,4.586689201659753,1.022503547433929,3.437055520084222,3.32966920629492,15.8,,,,,,,,,,
"242450 (2004 QY2)",1.083970645923477,.4772282692255937,37.02786611822465,295.3227229938665,104.9621118480084,.5666692106780674,1.601272081168887,1.12858554805751,14.7,,,,,,,,,,
"242643 (2005 NZ6)",1.834684297249296,.8644822815022128,8.491654229660444,39.50424030774393,48.22234302954158,.2486322301269406,3.420736364371652,2.48513632903833,17.4,,,,,,,,,,
"242708 (2005 UK1)",2.50145264973284,.6953288955906888,.7885860287381189,180.4123630118945,345.8664678482138,.7621203414217024,4.240784958043978,3.95636755785996,18.0,,,,,,,,,,
"243025 (2006 UM216)",2.684579442875104,.5194100131050332,15.66826796039008,251.756289539849,145.545596562628,1.290181999269844,4.078976886480365,4.39868226936428,15.9,,,,,,,,,,
"243147 (2007 TX18)",2.137132924398238,.4160347454142138,7.370684637619334,284.2452186942429,15.75308513206349,1.248011372279883,3.026254476516593,3.1243199706569,17.3,,,,,,,,,,
"243298 (2008 EN82)",2.504697492360843,.5524120905545566,11.97855489599504,207.0277926868751,194.6537060878005,1.121072314399034,3.888322670322653,3.96406825476139,15.6,,,,,,,,,,
"243566 (1995 SA)",2.459132212362077,.6409216229320548,19.9461903989374,170.3761566027098,52.75858565694966,.8830212038104802,4.035243220913674,3.85639064192951,17.2,,,,,,,,,,
"244670 (2003 KN18)",1.748295015328539,.4861124601377955,11.90018147215658,168.7208528233114,354.631633507523,.8984270243805381,2.598163006276541,2.31169365647378,18.6,,,,,,,,,,
